Filename,Cluster
100715 - AREM.txt,465
103698 - KAL.txt,368
"161519 - Midrex Technologies, Inc..txt",129
"157957 - Cambridge Investment Research, Inc..txt",437
"161519 - Midrex Technologies, Inc..txt",129
138185 - Azazie.txt,222
244404 - ISAM.txt,156
219156 - Skylife Engineering.txt,411
106546 - Miovision Technologies.txt,310
151052 - Deccan International.txt,166
150232 - X by 2.txt,252
213337 - Oderland Webbhotell.txt,36
132526 - ETF.com.txt,398
17318 - SmartPixels.txt,360
134623 - 100 Percent Pure.txt,215
114924 - Visit Group.txt,37
209098 - API Group.txt,168
23465 - Smartr365.txt,335
111161 - Zankyou.txt,407
104944 - Tribal Credit.txt,171
131051 - Bond Brand Loyalty.txt,320
130456 - IdeaScale.txt,256
109867 - Orolia.txt,428
216000 - VISUAL ENGINEERING.txt,247
146210 - DATABASICS.txt,312
224273 - Tachodata.txt,18
200299 - Threat Tec.txt,401
163534 - Vertic.txt,344
125639 - XeniT.txt,43
146952 - LiveGauge.txt,48
162247 - Acromove.txt,206
141266 - Free Range Games.txt,29
155945 - Carlton Group Limited.txt,353
22116 - CoinShares.txt,139
204840 - Harvey Norman.txt,364
170846 - TESCRA.txt,351
240425 - American Welding Society.txt,236
151914 - List Biological Laboratories.txt,255
21266 - Clym.txt,155
163994 - Corrisoft.txt,145
190204 - Touch of Life Technologies.txt,119
109988 - Parkopedia.txt,362
119885 - Tedial.txt,42
137292 - CMX (ComplianceMetrix).txt,194
134631 - Folio3 Software.txt,273
125805 - ECSPLICITE.txt,393
160338 - Kerr Consulting.txt,378
129016 - AccuWeather.txt,380
172832 - LTVPlus.txt,300
132528 - Rugs USA.txt,244
112914 - N&TS Group.txt,319
22341 - MyPocketSkill.txt,207
133142 - Viafoura.txt,50
165199 - Jolera.txt,391
135454 - RocketFuel.txt,90
105144 - Edgewise Therapeutics.txt,172
163534 - Vertic.txt,344
110773 - ULTRA.txt,461
118034 - Artelys.txt,323
156247 - Fortress Building Products.txt,241
165199 - Jolera.txt,391
170731 - Twin Rivers Technologies.txt,243
190204 - Touch of Life Technologies.txt,119
119846 - Sauermann Industrie S.A.txt,441
191182 - Red Valve.txt,0
164229 - Canada Health Infoway.txt,363
154873 - Wheelhouse IT.txt,384
21872 - Argent.txt,298
22341 - MyPocketSkill.txt,207
135454 - RocketFuel.txt,90
211709 - Navi Partner Kobenhavn.txt,144
210974 - AMIS.txt,225
111591 - EveryMatrix.txt,71
168201 - Grindstone.txt,111
114188 - PeopleCert.txt,246
125805 - ECSPLICITE.txt,393
120616 - Login Consultants.txt,211
126134 - Neofonie Mobile GmbH.txt,24
18397 - himydata.txt,466
105144 - Edgewise Therapeutics.txt,172
114627 - Claromentis.txt,317
138396 - Canfield Scientific.txt,198
131051 - Bond Brand Loyalty.txt,320
170846 - TESCRA.txt,351
110947 - AutoForm Engineering.txt,20
109855 - Microlise.txt,132
200666 - Streampoint Solutions Inc..txt,290
130536 - Fastcase.txt,44
168149 - Bioinformatics Solutions Inc.txt,110
237327 - Bevilacqua Research Corporation.txt,185
150450 - iGPS.txt,460
160722 - MaxLite.txt,250
153703 - Policy Reporter.txt,170
102051 - ISVWorld.txt,158
250518 - Global Testing.txt,160
"153694 - Cornet Technology, Inc..txt",226
109825 - British Land.txt,422
130826 - AES Corporation.txt,54
221853 - Agile Partner.txt,-1
121895 - MedOne.txt,191
106641 - ATTAbotics.txt,421
206026 - GymBeam.txt,70
108117 - Clearpath Robotics.txt,88
135853 - Biscom.txt,302
11009 - Ogulo.txt,73
144553 - Clozd.txt,7
236393 - ATNI.txt,187
22232 - Orca Scan.txt,148
244345 - IO Datasphere.txt,486
149094 - Powerex.txt,178
21903 - FarmaTrust.txt,339
148622 - ProVest LLC.txt,464
119784 - Calcasa.txt,218
25331 - Cognism.txt,263
129497 - Maropost.txt,39
154716 - BioDot.txt,249
137763 - mroads.txt,485
117747 - E-Drive Technology.txt,23
219156 - Skylife Engineering.txt,411
136966 - SeaSpine.txt,326
165145 - BEA Sensors Americas.txt,34
11655 - Next Kraftwerke GmbH.txt,40
130726 - PersonalizationMall.com.txt,177
139724 - The Maze Group.txt,342
186504 - Local Wisdom.txt,248
183170 - Omnimed.Com.txt,450
103520 - Essensium.txt,268
119307 - DSIT.txt,52
194759 - Zel Technologies.txt,479
164496 - TownSuite Municipal Software.txt,261
136553 - Blue Orange Digital.txt,410
107107 - Hardbacon.txt,16
129065 - BARK.txt,5
127409 - Continia Software.txt,270
132166 - SmartAction.txt,122
132166 - SmartAction.txt,122
215374 - Softwarehut.txt,455
133099 - Globalstar.txt,369
245780 - Argonics.txt,249
145869 - Healthcare IT Leaders.txt,251
105432 - Xometry.txt,481
120114 - CreditForce.txt,131
18820 - GenCell.txt,62
104944 - Tribal Credit.txt,171
111161 - Zankyou.txt,407
140360 - Naologic.txt,274
161999 - TicToc Games.txt,28
21266 - Clym.txt,155
216000 - VISUAL ENGINEERING.txt,247
201102 - Fast Track.txt,98
"147766 - Brownells, Inc..txt",94
110876 - Ascom Holding.txt,8
135865 - Create Music Group.txt,275
176542 - Vienna Beef.txt,103
193647 - NexTalk.txt,359
139412 - Certified Languages International.txt,89
141669 - Welbe.txt,196
146802 - Savoya.txt,135
102173 - MyBuilder.txt,202
190919 - Brady Services.txt,162
215374 - Softwarehut.txt,455
18368 - Murfy.txt,467
177880 - Marstudio.txt,138
158609 - AVT Simulation.txt,474
136140 - Feenics.txt,279
201102 - Fast Track.txt,98
129281 - Mindvalley.txt,419
139124 - Kodiak.txt,427
109376 - congatec.txt,109
145558 - Janeiro Digital.txt,33
137395 - ClimateAI.txt,355
226952 - emtrion.txt,60
"135240 - Darklight, Inc..txt",220
129065 - BARK.txt,5
132114 - TrialCard.txt,408
117073 - Clinical Microbiomics.txt,265
140275 - UEAT.io.txt,392
106365 - Saleor Commerce.txt,313
114188 - PeopleCert.txt,246
114996 - Preventx.txt,157
139582 - Stream Companies.txt,149
143741 - geoLOGIC.txt,315
23086 - inCust.txt,357
217512 - Klubmodul.txt,17
112914 - N&TS Group.txt,319
141266 - Free Range Games.txt,29
224168 - ALIUSENERGY.txt,224
12345 - contextflow.txt,83
209098 - API Group.txt,168
173671 - Pierce Washington Consulting.txt,293
190767 - DLZP Group.txt,134
130536 - Fastcase.txt,44
103698 - KAL.txt,368
166560 - Avo Photonics.txt,167
25333 - Everflow.txt,471
138743 - PGIM Fixed Income.txt,233
115862 - Amido AB.txt,46
107107 - Hardbacon.txt,16
139725 - Innovecs.txt,470
207104 - UnternehmerTUM.txt,82
103520 - Essensium.txt,268
129844 - BizLibrary.txt,96
111161 - Zankyou.txt,407
114554 - Talis.txt,473
176542 - Vienna Beef.txt,103
121122 - ANP.txt,212
129686 - San Diego Padres.txt,257
115001 - White Label Loyalty.txt,219
145784 - Dorado Software.txt,203
130645 - simplehuman.txt,245
146952 - LiveGauge.txt,48
129016 - AccuWeather.txt,380
139790 - BCM One.txt,383
"155920 - Smith, Bucklin & Associates.txt",61
21872 - Argent.txt,298
149269 - Docufree.txt,112
213852 - DCM.txt,118
178328 - CultureFit.txt,331
154651 - Examine.txt,11
234563 - White Pants Agency.txt,174
215854 - Sereneo.txt,454
115496 - Digpro.txt,32
114627 - Claromentis.txt,317
150427 - Avanti Markets.txt,195
165737 - GeoStabilization International.txt,99
22341 - MyPocketSkill.txt,207
125805 - ECSPLICITE.txt,393
112826 - Avantgarde.txt,388
218129 - bmpi.txt,51
132528 - Rugs USA.txt,244
132528 - Rugs USA.txt,244
193817 - RL Canning.txt,361
131442 - Profisee.txt,414
209880 - Koninklijke De Kuyper.txt,173
135454 - RocketFuel.txt,90
142138 - IDMWorks.txt,179
119885 - Tedial.txt,42
139424 - ChaiOne.txt,324
135332 - Applied Minds.txt,423
22341 - MyPocketSkill.txt,207
222231 - MondayCoffee.txt,64
"180949 - Virtual Tech Gurus, Inc..txt",164
16130 - Shotgun.txt,95
210974 - AMIS.txt,225
105432 - Xometry.txt,481
136386 - Rand McNally.txt,133
136859 - Fingercheck.txt,301
18397 - himydata.txt,466
"135240 - Darklight, Inc..txt",220
117899 - HolidayCheck Group.txt,57
15518 - LALALAB (ex Polagram).txt,291
137763 - mroads.txt,485
188650 - Austin Visuals 3D Animation Studio.txt,6
136703 - Avid Biosciences.txt,254
142138 - IDMWorks.txt,179
139582 - Stream Companies.txt,149
150427 - Avanti Markets.txt,195
150499 - Addgene.txt,2
115496 - Digpro.txt,32
135168 - CaseGlide.txt,284
200299 - Threat Tec.txt,401
183170 - Omnimed.Com.txt,450
129497 - Maropost.txt,39
201800 - Computer System Innovations.txt,230
145285 - Airstream.txt,356
135477 - Pure App.txt,304
25338 - Hummingbird Technologies.txt,316
139725 - Innovecs.txt,470
191182 - Red Valve.txt,0
194759 - Zel Technologies.txt,479
156878 - Prospect 33.txt,176
131208 - Sora.txt,334
170846 - TESCRA.txt,351
126234 - Bristan.txt,352
22232 - Orca Scan.txt,148
153671 - Structure Studios.txt,31
11655 - Next Kraftwerke GmbH.txt,40
115862 - Amido AB.txt,46
149376 - Chromatic.txt,175
240408 - Columbia Advisory Group.txt,371
229768 - Saskatchewan Research Council.txt,128
132166 - SmartAction.txt,122
22341 - MyPocketSkill.txt,207
168149 - Bioinformatics Solutions Inc.txt,110
156878 - Prospect 33.txt,176
134621 - Azion.txt,205
155470 - Travelnet Solutions.txt,286
208502 - Kefron.txt,121
191327 - Glu Company.txt,399
134478 - GCM Grosvenor.txt,116
102051 - ISVWorld.txt,158
132305 - Boomerang.txt,81
209880 - Koninklijke De Kuyper.txt,173
102051 - ISVWorld.txt,158
106365 - Saleor Commerce.txt,313
171864 - Pethealth.txt,235
204826 - WorldFirst.txt,271
107469 - Giftagram.txt,137
130456 - IdeaScale.txt,256
156247 - Fortress Building Products.txt,241
163994 - Corrisoft.txt,145
17221 - Brigad.txt,462
145583 - TechBlocks.txt,161
170846 - TESCRA.txt,351
141371 - Wanderly.txt,210
131771 - Enzoic.txt,75
135477 - Pure App.txt,304
151914 - List Biological Laboratories.txt,255
145558 - Janeiro Digital.txt,33
129065 - BARK.txt,5
"150480 - Proxima Clinical Research, Inc..txt",85
200299 - Threat Tec.txt,401
12345 - contextflow.txt,83
209880 - Koninklijke De Kuyper.txt,173
131061 - Format.txt,281
188650 - Austin Visuals 3D Animation Studio.txt,6
115268 - Extronics.txt,78
139412 - Certified Languages International.txt,89
129239 - Glo.txt,418
191182 - Red Valve.txt,0
234563 - White Pants Agency.txt,174
160386 - Infiltrator Water Technologies.txt,231
114188 - PeopleCert.txt,246
18820 - GenCell.txt,62
136336 - TechnoMile.txt,287
145784 - Dorado Software.txt,203
21148 - Konsentus.txt,295
117747 - E-Drive Technology.txt,23
136140 - Feenics.txt,279
134865 - DocuPhase.txt,125
212258 - Aviointeriors.txt,314
204826 - WorldFirst.txt,271
22232 - Orca Scan.txt,148
146952 - LiveGauge.txt,48
202846 - Xeratec.txt,307
137843 - Gimmal.txt,451
166974 - The Mice Groups.txt,371
128139 - CBrain.txt,12
167998 - JobsMedia.txt,426
164256 - Mecademic.txt,386
194264 - GPL Technologies.txt,445
131208 - Sora.txt,334
12345 - contextflow.txt,83
139065 - Three Five Two.txt,349
156878 - Prospect 33.txt,176
116581 - GENTWO.txt,80
135454 - RocketFuel.txt,90
217512 - Klubmodul.txt,17
132714 - Lender Price.txt,306
154651 - Examine.txt,11
226952 - emtrion.txt,60
117595 - Dive.txt,204
190204 - Touch of Life Technologies.txt,119
133099 - Globalstar.txt,369
131158 - Fulfil.IO.txt,183
136140 - Feenics.txt,279
131771 - Enzoic.txt,75
113899 - Ubiwhere.txt,288
115268 - Extronics.txt,78
107056 - Locketgo.txt,283
239168 - LGM.txt,413
143774 - Quartet FS.txt,1
130726 - PersonalizationMall.com.txt,177
112826 - Avantgarde.txt,388
120067 - Deutsche Gesellschaft fБr Cybersicherheit.txt,74
10164 - Proxi.txt,375
141669 - Welbe.txt,196
112864 - Geeks.txt,397
123740 - eDoc solutions AG.txt,77
137292 - CMX (ComplianceMetrix).txt,194
11009 - Ogulo.txt,73
146802 - Savoya.txt,135
143991 - Credigy Solutions.txt,232
192187 - Canadian Credit Union Association.txt,102
131771 - Enzoic.txt,75
193995 - Romet.txt,165
129065 - BARK.txt,5
210664 - OSSA.txt,184
104640 - Aliro Technologies.txt,192
18638 - Inovytec.txt,56
215585 - Gubra.txt,228
114188 - PeopleCert.txt,246
132305 - Boomerang.txt,81
129686 - San Diego Padres.txt,257
176542 - Vienna Beef.txt,103
218715 - Scienta.txt,10
11651 - The Mobility House.txt,69
158609 - AVT Simulation.txt,474
117073 - Clinical Microbiomics.txt,265
166560 - Avo Photonics.txt,167
"153694 - Cornet Technology, Inc..txt",226
196193 - Rfid Canada.txt,430
"177786 - Nexus Technologies, Inc..txt",193
206026 - GymBeam.txt,70
165737 - GeoStabilization International.txt,99
155678 - DeLorean.txt,47
17221 - Brigad.txt,462
129281 - Mindvalley.txt,419
201800 - Computer System Innovations.txt,230
145583 - TechBlocks.txt,161
130726 - PersonalizationMall.com.txt,177
126234 - Bristan.txt,352
177083 - Sunrider.txt,106
11655 - Next Kraftwerke GmbH.txt,40
17221 - Brigad.txt,462
193647 - NexTalk.txt,359
106365 - Saleor Commerce.txt,313
177083 - Sunrider.txt,106
168201 - Grindstone.txt,111
15074 - New Generation SR.txt,448
166737 - Teguar Computers.txt,120
151321 - Cenero.txt,424
135913 - Alaka'i.txt,63
178477 - Cornerstone Technologies International.txt,213
150027 - Squeeze Massage.txt,190
155805 - seoplus+.txt,153
204896 - SteelSeries.txt,439
141371 - Wanderly.txt,210
120067 - Deutsche Gesellschaft fБr Cybersicherheit.txt,74
11651 - The Mobility House.txt,69
157599 - VolunteerHub.txt,97
115171 - Securecell.txt,53
123745 - A-Tono.txt,318
162506 - Planit.txt,347
151321 - Cenero.txt,424
139725 - Innovecs.txt,470
"135240 - Darklight, Inc..txt",220
192187 - Canadian Credit Union Association.txt,102
225397 - wegewerk.txt,79
194759 - Zel Technologies.txt,479
150011 - OneMarketData.txt,345
135454 - RocketFuel.txt,90
192187 - Canadian Credit Union Association.txt,102
21872 - Argent.txt,298
156878 - Prospect 33.txt,176
120067 - Deutsche Gesellschaft fБr Cybersicherheit.txt,74
138185 - Azazie.txt,222
156247 - Fortress Building Products.txt,241
21903 - FarmaTrust.txt,339
165737 - GeoStabilization International.txt,99
166737 - Teguar Computers.txt,120
146802 - Savoya.txt,135
200933 - Bursting Silver.txt,321
211538 - Postnova Analytics.txt,417
150499 - Addgene.txt,2
121895 - MedOne.txt,191
110773 - ULTRA.txt,461
127389 - Immeo.txt,13
143991 - Credigy Solutions.txt,232
141371 - Wanderly.txt,210
145784 - Dorado Software.txt,203
133142 - Viafoura.txt,50
136703 - Avid Biosciences.txt,254
21252 - PQShield.txt,435
102588 - Urbasolar.txt,433
106987 - CheckSammy.txt,163
230064 - MadDog Technology.txt,332
167683 - Hook Agency.txt,154
110571 - AutoRek.txt,189
116581 - GENTWO.txt,80
158245 - Cloud for Good.txt,299
145259 - The Sullivan Group.txt,329
218129 - bmpi.txt,51
141857 - Cloudbyz.txt,259
123745 - A-Tono.txt,318
210974 - AMIS.txt,225
133142 - Viafoura.txt,50
145869 - Healthcare IT Leaders.txt,251
111359 - Publitas.com.txt,367
126134 - Neofonie Mobile GmbH.txt,24
186270 - Corning Museum of Glass.txt,136
201800 - Computer System Innovations.txt,230
118352 - Navus.txt,227
177083 - Sunrider.txt,106
139412 - Certified Languages International.txt,89
139286 - Montrium.txt,258
18397 - himydata.txt,466
114188 - PeopleCert.txt,246
193995 - Romet.txt,165
132526 - ETF.com.txt,398
210709 - NDA Regulatory Service GmbH.txt,108
109988 - Parkopedia.txt,362
138396 - Canfield Scientific.txt,198
131656 - Leap Gaming.txt,26
18368 - Murfy.txt,467
134451 - NaviStone.txt,309
131757 - Apifiny.txt,115
113678 - BUFF.txt,297
161959 - Advanced Medical Reviews.txt,201
129239 - Glo.txt,418
131757 - Apifiny.txt,115
134259 - Pushnami.txt,328
133142 - Viafoura.txt,50
192187 - Canadian Credit Union Association.txt,102
158245 - Cloud for Good.txt,299
145869 - Healthcare IT Leaders.txt,251
133099 - Globalstar.txt,369
18368 - Murfy.txt,467
209098 - API Group.txt,168
200666 - Streampoint Solutions Inc..txt,290
179891 - CentrAlert.txt,272
114996 - Preventx.txt,157
130726 - PersonalizationMall.com.txt,177
108117 - Clearpath Robotics.txt,88
14516 - Amplitude Studios.txt,396
193995 - Romet.txt,165
183170 - Omnimed.Com.txt,450
"157957 - Cambridge Investment Research, Inc..txt",437
165737 - GeoStabilization International.txt,99
119885 - Tedial.txt,42
110876 - Ascom Holding.txt,8
191389 - Heitmeyer Consulting.txt,92
136556 - Computronix.txt,472
165145 - BEA Sensors Americas.txt,34
10164 - Proxi.txt,375
193647 - NexTalk.txt,359
222231 - MondayCoffee.txt,64
201800 - Computer System Innovations.txt,230
167683 - Hook Agency.txt,154
130726 - PersonalizationMall.com.txt,177
198141 - North Star Systems.txt,22
164496 - TownSuite Municipal Software.txt,261
136457 - Mariner.txt,25
100715 - AREM.txt,465
117595 - Dive.txt,204
166560 - Avo Photonics.txt,167
187930 - ESTI Consulting Services.txt,141
12516 - Iviso.txt,41
19656 - Sensority.txt,58
121794 - Campion Insurance.txt,15
113678 - BUFF.txt,297
135454 - RocketFuel.txt,90
164229 - Canada Health Infoway.txt,363
19609 - Opinion Stage.txt,9
105144 - Edgewise Therapeutics.txt,172
127141 - Scandio.txt,72
143741 - geoLOGIC.txt,315
145583 - TechBlocks.txt,161
132528 - Rugs USA.txt,244
132666 - HoMedics.txt,223
108309 - mappedin.txt,322
128877 - LastPass.txt,373
252187 - Source 360.txt,341
120067 - Deutsche Gesellschaft fБr Cybersicherheit.txt,74
166737 - Teguar Computers.txt,120
197854 - VIPSoftware.txt,242
134621 - Azion.txt,205
224152 - Paranor AG.txt,65
20178 - Air Doctor.txt,146
116977 - Sorgente Natura.txt,308
215854 - Sereneo.txt,454
132305 - Boomerang.txt,81
18368 - Murfy.txt,467
131731 - American Association for Cancer Research.txt,432
141669 - Welbe.txt,196
153188 - Invoice Home.txt,358
132970 - DeepIntent.txt,237
129065 - BARK.txt,5
19609 - Opinion Stage.txt,9
194759 - Zel Technologies.txt,479
244404 - ISAM.txt,156
204826 - WorldFirst.txt,271
251635 - Stanfield's.txt,14
161371 - Lightology.txt,100
121895 - MedOne.txt,191
116409 - Jarvis Legal.txt,453
104448 - Strider.txt,221
136386 - Rand McNally.txt,133
164458 - Software Next Door.txt,452
117747 - E-Drive Technology.txt,23
164458 - Software Next Door.txt,452
136140 - Feenics.txt,279
18638 - Inovytec.txt,56
216618 - Ortivus.txt,-1
131442 - Profisee.txt,414
24686 - OutThink.txt,436
138396 - Canfield Scientific.txt,198
11655 - Next Kraftwerke GmbH.txt,40
162506 - Planit.txt,347
153588 - Pani Energy.txt,127
150427 - Avanti Markets.txt,195
112415 - JobLogic.txt,458
131771 - Enzoic.txt,75
145583 - TechBlocks.txt,161
144054 - Firmatek.txt,405
111301 - Ascendance Flight Technologies.txt,269
131656 - Leap Gaming.txt,26
22232 - Orca Scan.txt,148
136966 - SeaSpine.txt,326
120114 - CreditForce.txt,131
161252 - Searchbloom.txt,151
128981 - Walt Disney Animation Studios.txt,434
17318 - SmartPixels.txt,360
146210 - DATABASICS.txt,312
139725 - Innovecs.txt,470
164458 - Software Next Door.txt,452
242969 - Rheaume Engineering.txt,200
244345 - IO Datasphere.txt,486
112914 - N&TS Group.txt,319
202846 - Xeratec.txt,307
23503 - TreasurySpring.txt,366
111104 - jacando.txt,59
134623 - 100 Percent Pure.txt,215
156247 - Fortress Building Products.txt,241
116409 - Jarvis Legal.txt,453
132528 - Rugs USA.txt,244
134994 - Stratix Corporation.txt,181
16921 - Get.txt,285
210061 - oXya.txt,400
150450 - iGPS.txt,460
143741 - geoLOGIC.txt,315
141371 - Wanderly.txt,210
142883 - CaptureRx.txt,19
113116 - Otodo.txt,416
217512 - Klubmodul.txt,17
134950 - Wheaton Van Lines.txt,404
134865 - DocuPhase.txt,125
109867 - Orolia.txt,428
136966 - SeaSpine.txt,326
213337 - Oderland Webbhotell.txt,36
211703 - Portima.txt,343
12345 - contextflow.txt,83
137395 - ClimateAI.txt,355
215854 - Sereneo.txt,454
183170 - Omnimed.Com.txt,450
"180949 - Virtual Tech Gurus, Inc..txt",164
102051 - ISVWorld.txt,158
113899 - Ubiwhere.txt,288
102588 - Urbasolar.txt,433
149094 - Powerex.txt,178
164229 - Canada Health Infoway.txt,363
120067 - Deutsche Gesellschaft fБr Cybersicherheit.txt,74
106987 - CheckSammy.txt,163
110947 - AutoForm Engineering.txt,20
